Código do fundo,Setor,Preço Atual,Liquidez Diária,Dividendo,Dividend Yield,DY (3M) Acumulado,DY (6M) Acumulado,DY (12M) Acumulado,DY (3M) Média,DY (6M) Média,DY (12M) Média,DY Ano,Variação Preço,Rentab. Período,Rentab. Acumulada,Patrimônio Líq.,VPA,P/VPA,DY Patrimonial,Variação Patrimonial,Rentab. Patr. no Período,Rentab. Patr. Acumulada,Vacância Física,Vacância Financeira,Quantidade Ativos
CCRF11,Títulos e Val Mob,83.33,15,1.37,1.60,2.73,5.16,12.45,0.91,0.86,1.04,1.60,0.00,1.60,1.60,149178347.27,94.90,0.88,1.45,0.00,1.45,1.45,,,0
EQIR11,Títulos e Val Mob,8.93,2572,0.11,1.24,3.50,17.03,23.83,1.17,2.84,1.99,1.24,0.00,1.24,1.24,4965462.53,9.76,0.91,,,,,,,0
ERCR11,Híbrido,7600.00,1,1149.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,154744932.02,65128.34,1.17,1.76,0.00,1.76,1.76,,,0
BTRA11,Outros,84.22,8399,0.95,1.13,3.18,5.93,11.14,1.06,0.99,0.93,1.13,0.00,1.13,1.13,466641228.30,138.69,0.61,0.68,0.00,0.68,0.68,,,0
BTSI11,Híbrido,,,0.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,19524485.24,104.29,,,,,,,,0
LFTT11,Residencial,68.15,368,6.54,8.90,27.01,0.00,0.00,9.00,0.00,0.00,15.86,0.03,8.93,16.51,283216343.77,38.25,1.78,13.37,0.00,13.37,13.37,,,0
HCHG11,Outros,80.00,1781,1.00,1.17,3.55,6.98,13.39,1.18,1.16,1.12,2.38,2.91,4.11,5.37,121717495.82,101.43,0.79,0.99,0.00,0.99,0.99,,,0
SPTW11,Lajes Corporativas,39.16,2748,0.42,1.08,3.14,6.04,11.57,1.05,1.01,0.96,2.11,-3.61,-2.57,-1.56,100300542.07,55.78,0.70,0.75,0.00,0.75,0.75,0.00,,1
RBRD11,Híbrido,33.41,606,0.32,0.95,2.65,4.97,9.58,0.88,0.83,0.80,1.87,-3.38,-2.47,-1.57,122769482.89,66.30,0.50,0.48,0.00,0.48,0.48,15.52,,4
SADI11,Títulos e Val Mob,89.70,1104,1.07,1.18,3.49,6.97,13.76,1.16,1.16,1.15,2.35,-1.65,-0.49,0.67,313671106.73,98.63,0.91,1.08,0.00,1.08,1.08,,,0
